"Protein","Detected","Missing","Missing_fraction"
"A6NDG6",3,9,0.75
"A8MQ03",4,8,0.666666666666667
"Q13765;E9PAV3",4,8,0.666666666666667
"O00154",0,12,1
"O00159",12,0,0
"O00161",12,0,0
"O00186",7,5,0.416666666666667
"O00194",11,1,0.0833333333333333
"O00231",7,5,0.416666666666667
"O00232",5,7,0.583333333333333
"O00299",12,0,0
"O00303",7,5,0.416666666666667
"O00410",10,2,0.166666666666667
"O00468",12,0,0
"O00560",12,0,0
"O00571;O15523",9,3,0.25
"O00622",10,2,0.166666666666667
"O00764",2,10,0.833333333333333
"O14493;O95484;P56747;O15551",12,0,0
"O14579",2,10,0.833333333333333
"O14672",12,0,0
"O14737",3,9,0.75
"O14745",12,0,0
"O14763",0,12,1
"O14786",7,5,0.416666666666667
"O14817",4,8,0.666666666666667
"O14818;Q8TAA3",9,3,0.25
"O14907",11,1,0.0833333333333333
"O14908",9,3,0.25
"P19105;O14950;P24844",12,0,0
"O15031",12,0,0
"O15144",12,0,0
"O15162",0,12,1
"O15230",12,0,0
"O15231",0,12,1
"O15372",5,7,0.583333333333333
"O15427",12,0,0
"O15511",10,2,0.166666666666667
"O43242",0,12,1
"O43399",12,0,0
"O43491",6,6,0.5
"O43493",0,12,1
"O43583",3,9,0.75
"O43598",11,1,0.0833333333333333
"O43633",9,3,0.25
"O43653",6,6,0.5
"O43657",11,1,0.0833333333333333
"O43707;Q9H254",12,0,0
"O43765",0,12,1
"O43776",0,12,1
"O43795",9,3,0.25
"O43854",9,3,0.25
"O60437",6,6,0.5
"O60488;O95573",6,6,0.5
"O60610",10,2,0.166666666666667
"O60664",12,0,0
"O60716",11,1,0.0833333333333333
"Q5QNW6;Q16778;P06899;P23527;P33778;P57053;P58876;P62807;Q93079;Q99877;Q99879;O60814;Q99880;Q96A08;Q8N257;A0A2R8Y619;Q6DRA6;Q6DN03",11,1,0.0833333333333333
"O60884",2,10,0.833333333333333
"O60888",6,6,0.5
"O75083",12,0,0
"O75131;Q8IYJ1;Q96A23;O95741;Q9UBL6",12,0,0
"O75348;O95670",6,6,0.5
"O75351;Q6PIW4",12,0,0
"O75367",3,9,0.75
"O75368",5,7,0.583333333333333
"O75369",12,0,0
"O75436",12,0,0
"O75695",6,6,0.5
"O75821",0,12,1
"O75874",9,3,0.25
"O75915",0,12,1
"O75935",0,12,1
"O75955",4,8,0.666666666666667
"O76094",0,12,1
"O94760",0,12,1
"O94832;B0I1T2",6,6,0.5
"O94907",0,12,1
"O94973",0,12,1
"O95164",0,12,1
"O95274",6,6,0.5
"O95336",12,0,0
"O95373",0,12,1
"O95394",2,10,0.833333333333333
"O95466",6,6,0.5
"O95716",0,12,1
"O95747",11,1,0.0833333333333333
"O95816",0,12,1
"O95832",5,7,0.583333333333333
"O95861",10,2,0.166666666666667
"O95865",11,1,0.0833333333333333
"P00338;Q6ZMR3;P07864",12,0,0
"P00390",0,12,1
"P00491",8,4,0.333333333333333
"P00492",3,9,0.75
"P00533",10,2,0.166666666666667
"P00558;P07205",12,0,0
"P00749",10,2,0.166666666666667
"P00750",6,6,0.5
"P00918",5,7,0.583333333333333
"P00966",6,6,0.5
"P01008",0,12,1
"P01024",11,1,0.0833333333333333
"P01033",5,7,0.583333333333333
"P01111;P01116;P01112",9,3,0.25
"P01889",12,0,0
"P01903;P01906",6,6,0.5
"P02545;P20700;Q03252",12,0,0
"P02749",0,12,1
"P02751",12,0,0
"P02792",0,12,1
"P02794",12,0,0
"P02795;P13640;P80294;P04731",11,1,0.0833333333333333
"P03956",6,6,0.5
"P03973",7,5,0.416666666666667
"P04004",0,12,1
"P04075",12,0,0
"P04080",8,4,0.333333333333333
"P04083",12,0,0
"P04179",4,8,0.666666666666667
"P04406;O14556",12,0,0
"P04439;P01893",12,0,0
"P04632;Q96L46",12,0,0
"P04732",2,10,0.833333333333333
"P04792",11,1,0.0833333333333333
"P04899",12,0,0
"P05023;P13637;P50993;Q13733;P20648;P54707",12,0,0
"P05026",12,0,0
"P05062",0,12,1
"P05106",6,6,0.5
"P05109",6,6,0.5
"P05114",5,7,0.583333333333333
"P05120",6,6,0.5
"P05121",6,6,0.5
"P05141",0,12,1
"P05198",9,3,0.25
"P05362",12,0,0
"P05386",2,10,0.833333333333333
"P05387",12,0,0
"P05388;Q8NHW5",9,3,0.25
"P05556",12,0,0
"P05814",7,5,0.416666666666667
"P06396;CON__Q3SX14",12,0,0
"P06454",11,1,0.0833333333333333
"P06702",6,6,0.5
"P06703",12,0,0
"P06733;P13929",12,0,0
"P06744;CON__Q3ZBD7;Q8N196",12,0,0
"P06748",5,7,0.583333333333333
"P06753",0,12,1
"P06756",12,0,0
"P07195",12,0,0
"P07203",4,8,0.666666666666667
"P07204",0,12,1
"P07237",6,6,0.5
"P07339",10,2,0.166666666666667
"P07355;A6NMY6",12,0,0
"P07384",12,0,0
"P07437",12,0,0
"P07737;CON__P02584",12,0,0
"P07741",11,1,0.0833333333333333
"P07900;Q14568;Q58FF6;Q58FG0",12,0,0
"P07910;P0DMR1;O60812;B7ZW38;B2RXH8",12,0,0
"P07942",12,0,0
"P07947;P12931;P06241;P08631",10,2,0.166666666666667
"P07948",7,5,0.416666666666667
"P07996",7,5,0.416666666666667
"P08133",8,4,0.333333333333333
"P08134;P62745",12,0,0
"P08174",12,0,0
"P08195",12,0,0
"P08238;Q58FF7",12,0,0
"P08473",6,6,0.5
"P08571",7,5,0.416666666666667
"P08582",8,4,0.333333333333333
"P08648",11,1,0.0833333333333333
"P08670;P41219;P17661;P14136;Q16352;P07196;P07197;P12036",11,1,0.0833333333333333
"P08754",12,0,0
"P08758",12,0,0
"P08865;A0A8I5KQE6",11,1,0.0833333333333333
"P09104",0,12,1
"P09211",12,0,0
"P09382",9,3,0.25
"P09496",4,8,0.666666666666667
"P09525",12,0,0
"P09543",10,2,0.166666666666667
"P09758",12,0,0
"P09960",12,0,0
"P09972",7,5,0.416666666666667
"Q71UI9;P0C0S5",7,5,0.416666666666667
"P62987;P62979;P0CG47;P0CG48",12,0,0
"P0DMV9;P0DMV8",12,0,0
"P0DP25;P0DP24;P0DP23;P02585",12,0,0
"P10301",12,0,0
"P10321",0,12,1
"P10412",0,12,1
"P10599",12,0,0
"P10809",0,12,1
"P10909",5,7,0.583333333333333
"P11021",10,2,0.166666666666667
"P11047",12,0,0
"P11142",12,0,0
"P11166",6,6,0.5
"P11216",11,1,0.0833333333333333
"P11233",12,0,0
"P11234",0,12,1
"P11274",0,12,1
"P11279",6,6,0.5
"P11586",0,12,1
"P11766",0,12,1
"P11940;Q9H361;Q96DU9;Q4VXU2;Q13310",11,1,0.0833333333333333
"P12081",3,9,0.75
"P12429",12,0,0
"P12532;P17540",9,3,0.25
"P12814;P35609;Q08043",12,0,0
"P12955",9,3,0.25
"P13489",12,0,0
"P13639;Q15029",12,0,0
"P13688",6,6,0.5
"P13726",12,0,0
"P13797;P13796",12,0,0
"P13861",0,12,1
"P13928",4,8,0.666666666666667
"P13987",12,0,0
"P14174",10,2,0.166666666666667
"P14314",4,8,0.666666666666667
"P14618;P30613",12,0,0
"P14625",11,1,0.0833333333333333
"P14868",7,5,0.416666666666667
"P14923",12,0,0
"P15104",7,5,0.416666666666667
"P15121",2,10,0.833333333333333
"P15144",7,5,0.416666666666667
"P15151",4,8,0.666666666666667
"P15153",8,4,0.333333333333333
"P15311",12,0,0
"P15531",6,6,0.5
"P15880",12,0,0
"P15924",6,6,0.5
"P15941",11,1,0.0833333333333333
"P16070",12,0,0
"P16104;Q8IUE6;Q96QV6",12,0,0
"P16144",12,0,0
"P16152",12,0,0
"P16403;P16402;P22492;Q02539",5,7,0.583333333333333
"P16671",0,12,1
"P16949",5,7,0.583333333333333
"P16989",11,1,0.0833333333333333
"P17066;P48741",0,12,1
"P17096",4,8,0.666666666666667
"P17174",2,10,0.833333333333333
"P17301",12,0,0
"P17655",10,2,0.166666666666667
"P17931",4,8,0.666666666666667
"P17980",6,6,0.5
"P17987",12,0,0
"P18084",6,6,0.5
"P18085",12,0,0
"P18124",10,2,0.166666666666667
"P18206",12,0,0
"P18564",6,6,0.5
"P18621",7,5,0.416666666666667
"P18669;Q8N0Y7;P15259",12,0,0
"P18827",4,8,0.666666666666667
"P19256",11,1,0.0833333333333333
"P19440;A6NGU5;P36268;Q14390;B5MD39",4,8,0.666666666666667
"P19623",11,1,0.0833333333333333
"P19823",0,12,1
"P19883",0,12,1
"P19971",7,5,0.416666666666667
"P20020",11,1,0.0833333333333333
"P20073",11,1,0.0833333333333333
"P20339",0,12,1
"P20340;Q9NRW1;Q14964",12,0,0
"P20810",0,12,1
"P21291",4,8,0.666666666666667
"P21333",12,0,0
"P21589",12,0,0
"P21796",0,12,1
"P21926",11,1,0.0833333333333333
"P21980",8,4,0.333333333333333
"P22234",9,3,0.25
"P22314",12,0,0
"P22392;O60361",0,12,1
"P22413",7,5,0.416666666666667
"P22528",3,9,0.75
"P35326;P35325;P22532;P22531;Q9BYE4;Q96RM1",8,4,0.333333333333333
"P22626",6,6,0.5
"P22735",6,6,0.5
"P23229",12,0,0
"P23284",6,6,0.5
"P23381",6,6,0.5
"P23396",12,0,0
"P23526",10,2,0.166666666666667
"P23528",12,0,0
"P23588",10,2,0.166666666666667
"P23634;Q01814",12,0,0
"P24534",6,6,0.5
"P24821",6,6,0.5
"P25398",12,0,0
"P25445",7,5,0.416666666666667
"P25685",0,12,1
"P25786",11,1,0.0833333333333333
"P25787",0,12,1
"P25788",11,1,0.0833333333333333
"P25815",6,6,0.5
"P26006",12,0,0
"P26022",8,4,0.333333333333333
"P26038;REV__Q9H446",12,0,0
"P26368",0,12,1
"P26373",8,4,0.333333333333333
"P26447",12,0,0
"P26599;O95758",12,0,0
"P26639",9,3,0.25
"P26641",12,0,0
"P27105",12,0,0
"P27348",12,0,0
"P27482",0,12,1
"P27635;Q96L21",5,7,0.583333333333333
"P27701",12,0,0
"P27797",2,10,0.833333333333333
"P27824",8,4,0.333333333333333
"P28066",2,10,0.833333333333333
"P28072",5,7,0.583333333333333
"P28482",12,0,0
"P28838",0,12,1
"P29034",6,6,0.5
"P29279",0,12,1
"P29317;P54762;P54760;Q15375;Q9UF33;Q06187;P29320;P54764;P29322;P54756",8,4,0.333333333333333
"P29373;P29762",6,6,0.5
"P29401",12,0,0
"P29508",11,1,0.0833333333333333
"P29692",10,2,0.166666666666667
"P29966",12,0,0
"P29992;O95837;P19086;Q03113",9,3,0.25
"P30041",12,0,0
"P30044",12,0,0
"P30050",10,2,0.166666666666667
"P30085",7,5,0.416666666666667
"P30086",12,0,0
"P30101",12,0,0
"P30153;P30154",12,0,0
"P30520",2,10,0.833333333333333
"P30626",4,8,0.666666666666667
"P30740",12,0,0
"P31150",12,0,0
"P31151;Q86SG5",6,6,0.5
"P31431",9,3,0.25
"P31689",6,6,0.5
"P31939",0,12,1
"P31943",0,12,1
"P31944",6,6,0.5
"P31946",12,0,0
"P31947",12,0,0
"P31948",12,0,0
"P31949",12,0,0
"P32119",12,0,0
"P32455;Q9H0R5",0,12,1
"P32926",6,6,0.5
"P33176;O60282;Q12840",12,0,0
"P34932",12,0,0
"P35221;Q9UI47",12,0,0
"P35222",12,0,0
"P35237",12,0,0
"P35241",12,0,0
"P35268",11,1,0.0833333333333333
"P35321",6,6,0.5
"P35579;P35749",12,0,0
"P35580",4,8,0.666666666666667
"P35611",0,12,1
"P35613",12,0,0
"P35625",6,6,0.5
"P35754",10,2,0.166666666666667
"P36021",0,12,1
"P36543",2,10,0.833333333333333
"P36578",11,1,0.0833333333333333
"P36871",12,0,0
"P36952",7,5,0.416666666666667
"P37235;P84074;P61601",7,5,0.416666666666667
"P37802;Q9UI15",12,0,0
"P37837",12,0,0
"P38606",2,10,0.833333333333333
"P38919",9,3,0.25
"P39019",0,12,1
"P39060",6,6,0.5
"P40121",12,0,0
"P40123",0,12,1
"P40227;Q92526",11,1,0.0833333333333333
"P40261",0,12,1
"P40925",12,0,0
"P40926",11,1,0.0833333333333333
"Q2VIR3;P41091",8,4,0.333333333333333
"P41250",12,0,0
"P42025",0,12,1
"P42685",3,9,0.75
"P42892",0,12,1
"P43034",9,3,0.25
"P43121",5,7,0.583333333333333
"P43353;P48448",4,8,0.666666666666667
"P43487",4,8,0.666666666666667
"P43490",8,4,0.333333333333333
"P45974",9,3,0.25
"P46108",11,1,0.0833333333333333
"P46776",7,5,0.416666666666667
"P46779",8,4,0.333333333333333
"P46781",11,1,0.0833333333333333
"P46782",12,0,0
"P46940",12,0,0
"P47755",0,12,1
"P47756",12,0,0
"P47895",6,6,0.5
"P47897",2,10,0.833333333333333
"P48059",3,9,0.75
"P48163",3,9,0.75
"P48509",12,0,0
"P48594",6,6,0.5
"P48643",6,6,0.5
"P48739",0,12,1
"P48960;Q9UHX3",11,1,0.0833333333333333
"P49006",12,0,0
"P49189",8,4,0.333333333333333
"P49207",10,2,0.166666666666667
"P49327",12,0,0
"P49368",12,0,0
"P49419",3,9,0.75
"P49441",0,12,1
"P49588",12,0,0
"P49591",0,12,1
"P49720",12,0,0
"P49721",5,7,0.583333333333333
"P49755",0,12,1
"P50148",12,0,0
"P50151",2,10,0.833333333333333
"P50395",12,0,0
"P50452",2,10,0.833333333333333
"P50453",6,6,0.5
"Q8IZP2;P50502;Q8NFI4",7,5,0.416666666666667
"P50552",12,0,0
"P50990",12,0,0
"P50991",12,0,0
"P50995;P27216",11,1,0.0833333333333333
"P51148",11,1,0.0833333333333333
"P51149",11,1,0.0833333333333333
"P51153",9,3,0.25
"P51665",0,12,1
"P51858",6,6,0.5
"P52209",10,2,0.166666666666667
"P52292",6,6,0.5
"P52306",3,9,0.75
"P52565",12,0,0
"P52566",6,6,0.5
"P52597",0,12,1
"P52907",12,0,0
"P53396",0,12,1
"P53611",0,12,1
"P53621",3,9,0.75
"P53990",9,3,0.25
"P54578",10,2,0.166666666666667
"P54652",0,12,1
"P54709",12,0,0
"P54725",0,12,1
"P54819",4,8,0.666666666666667
"P54920",3,9,0.75
"P55072",12,0,0
"P55085",2,10,0.833333333333333
"P55209",2,10,0.833333333333333
"P55268",9,3,0.25
"P55327",0,12,1
"P55735",2,10,0.833333333333333
"P55786;A6NEC2",12,0,0
"P56537",0,12,1
"P57735",0,12,1
"P58335",4,8,0.666666666666667
"P58546",6,6,0.5
"P59998",11,1,0.0833333333333333
"P60033",12,0,0
"P60174",12,0,0
"P60660;P14649",12,0,0
"P60709;Q6S8J3;A5A3E0;P0CG38;Q9BYX7;P0CG39",12,0,0
"P60842",12,0,0
"P60900",0,12,1
"P60903",11,1,0.0833333333333333
"P60953;P17081;Q9H4E5",12,0,0
"P60981",12,0,0
"P60983",0,12,1
"P61006",4,8,0.666666666666667
"P61020",4,8,0.666666666666667
"P61026",3,9,0.75
"P62837;P61077",3,9,0.75
"P61081",0,12,1
"P61086",4,8,0.666666666666667
"P61088;Q5JXB2",10,2,0.166666666666667
"P61106",12,0,0
"P61158;Q9P1U1;Q9C0K3",12,0,0
"P61160",9,3,0.25
"P61163",12,0,0
"P61224;A6NIZ1",6,6,0.5
"P61225;P10114",12,0,0
"P61247",2,10,0.833333333333333
"P61586",12,0,0
"P61604",0,12,1
"P61769",12,0,0
"P61978",12,0,0
"P61981",12,0,0
"P62070",0,12,1
"P62081",4,8,0.666666666666667
"P62140;P36873;P62136",12,0,0
"P62195",12,0,0
"P62241",7,5,0.416666666666667
"P62244",0,12,1
"P62249",0,12,1
"P62258",12,0,0
"P62269",5,7,0.583333333333333
"P62277",4,8,0.666666666666667
"P62330",10,2,0.166666666666667
"P62333",0,12,1
"P62424",11,1,0.0833333333333333
"P62491",0,12,1
"P62633",0,12,1
"P62701;Q8TD47;P22090",7,5,0.416666666666667
"P62753",5,7,0.583333333333333
"P62805",12,0,0
"P62820;P59190",12,0,0
"P62826",12,0,0
"P62829",9,3,0.25
"P62834",12,0,0
"P62851",6,6,0.5
"P62854;Q5JNZ5",5,7,0.583333333333333
"P62857",7,5,0.416666666666667
"P62873;P16520",12,0,0
"P62879",12,0,0
"P62899",4,8,0.666666666666667
"P62906",8,4,0.333333333333333
"P62913",11,1,0.0833333333333333
"P62937;P0DN26;A0A0B4J2A2;A0A075B767;A0A075B759;Q9Y536;F5H284;P0DN37",12,0,0
"P62993",0,12,1
"P63000;P60763",12,0,0
"P63010",12,0,0
"P63027",0,12,1
"Q5JWF2;P63092;P38405",12,0,0
"P63096;P09471;P19087;A8MTJ3",2,10,0.833333333333333
"P63104",12,0,0
"P63172",2,10,0.833333333333333
"P63208",9,3,0.25
"P63218;A0A804HLA8",12,0,0
"P63241;Q6IS14",12,0,0
"P63244",12,0,0
"P63261",12,0,0
"P67809",12,0,0
"P67936;P07951;CON__Q3SX28;P09493",12,0,0
"P68133;P68032;P63267;P62736",11,1,0.0833333333333333
"P68036;A0A1B0GUS4",0,12,1
"P68104;Q5VTE0;Q05639",12,0,0
"P68363;Q9H853",12,0,0
"P68366",7,5,0.416666666666667
"P68371;Q9BVA1;Q13885",12,0,0
"P68431",3,9,0.75
"P78324",5,7,0.583333333333333
"P78371",12,0,0
"P78417",7,5,0.416666666666667
"P78539",2,10,0.833333333333333
"P80297",12,0,0
"P80723",12,0,0
"P84077;P61204",12,0,0
"P84085",0,12,1
"P84090",4,8,0.666666666666667
"P84095",12,0,0
"P84243;Q16695;Q5TEC6;Q6NXT2",2,10,0.833333333333333
"P98088",7,5,0.416666666666667
"P98160",12,0,0
"Q00610;P53675",12,0,0
"Q00688",4,8,0.666666666666667
"Q01082",12,0,0
"Q01469",10,2,0.166666666666667
"Q01518",12,0,0
"Q01650",12,0,0
"Q01813",10,2,0.166666666666667
"Q02543",4,8,0.666666666666667
"Q02790",4,8,0.666666666666667
"Q03135",7,5,0.416666666666667
"Q03169",10,2,0.166666666666667
"Q03405",10,2,0.166666666666667
"Q04446",0,12,1
"Q04917",12,0,0
"Q06210;O94808",0,12,1
"Q06323",12,0,0
"Q06830",12,0,0
"Q07020",11,1,0.0833333333333333
"Q08209",0,12,1
"Q08380",12,0,0
"Q08431",12,0,0
"Q08722",9,3,0.25
"Q09666",12,0,0
"Q10567",8,4,0.333333333333333
"Q12765",0,12,1
"Q12792",7,5,0.416666666666667
"Q12905",2,10,0.833333333333333
"Q13158",0,12,1
"Q13228",4,8,0.666666666666667
"Q13404",12,0,0
"Q13409",0,12,1
"Q13421",6,6,0.5
"Q13443",12,0,0
"Q13501",0,12,1
"Q13509",0,12,1
"Q13557;Q9UQM7;Q13555;Q13554",9,3,0.25
"Q13561",6,6,0.5
"Q13630",4,8,0.666666666666667
"Q13637",4,8,0.666666666666667
"Q13641",10,2,0.166666666666667
"Q13643",0,12,1
"Q13753",10,2,0.166666666666667
"Q13813;REV__Q04637",12,0,0
"Q14019",9,3,0.25
"Q14103",8,4,0.333333333333333
"Q14116",6,6,0.5
"Q14126",10,2,0.166666666666667
"Q14134",3,9,0.75
"Q14160",4,8,0.666666666666667
"Q14192",0,12,1
"Q14204",12,0,0
"Q14240",0,12,1
"Q14254",7,5,0.416666666666667
"Q14344",0,12,1
"Q14651",3,9,0.75
"Q14699",8,4,0.333333333333333
"Q14738;Q13362",8,4,0.333333333333333
"Q14764",12,0,0
"Q14847",12,0,0
"Q14914",4,8,0.666666666666667
"Q14974",12,0,0
"Q14CN2",6,6,0.5
"Q15005",0,12,1
"Q15019",0,12,1
"Q15056",5,7,0.583333333333333
"Q15084",9,3,0.25
"Q15102",12,0,0
"Q15149;P58107",12,0,0
"Q15181",9,3,0.25
"Q15185",0,12,1
"Q15257",0,12,1
"Q15286",11,1,0.0833333333333333
"Q15365",12,0,0
"Q15366;P57721",10,2,0.166666666666667
"Q15382",2,10,0.833333333333333
"Q15417",6,6,0.5
"Q15435",0,12,1
"Q15582",4,8,0.666666666666667
"Q15599",2,10,0.833333333333333
"Q15642",0,12,1
"Q15691",9,3,0.25
"Q15758",12,0,0
"Q15819",0,12,1
"Q15833",0,12,1
"Q15836;P23763",6,6,0.5
"Q15907",12,0,0
"Q16270",6,6,0.5
"Q16401",0,12,1
"Q16543",12,0,0
"Q16555;Q14194",6,6,0.5
"Q16651",6,6,0.5
"Q16658",5,7,0.583333333333333
"Q16719",8,4,0.333333333333333
"Q16720",0,12,1
"Q16777;Q6FI13",12,0,0
"Q16851",11,1,0.0833333333333333
"Q16881",0,12,1
"Q30154;P79483;P01911",2,10,0.833333333333333
"Q32MZ4",2,10,0.833333333333333
"Q3ZCM7",0,12,1
"Q53FA7",6,6,0.5
"Q53TN4",2,10,0.833333333333333
"Q562R1",0,12,1
"Q5VT79",0,12,1
"Q5VW32",9,3,0.25
"Q5ZPR3",6,6,0.5
"Q687X5",0,12,1
"Q6NZI2",0,12,1
"Q6P9B6",8,4,0.333333333333333
"Q6YHK3",6,6,0.5
"Q6ZN28",6,6,0.5
"Q71DI3",6,6,0.5
"Q71RC9",5,7,0.583333333333333
"Q71U36;P0DPH8;P0DPH7;Q6PEY2;A6NHL2",6,6,0.5
"Q7KZF4",12,0,0
"Q7L1Q6",5,7,0.583333333333333
"Q7L2H7",0,12,1
"Q7L576;Q96F07",10,2,0.166666666666667
"Q7L5D6",0,12,1
"Q9H8S9;Q7L9L4",8,4,0.333333333333333
"Q7LBR1",6,6,0.5
"Q7LG56",0,12,1
"Q7Z404",6,6,0.5
"Q7Z5G4;Q2TAP0",0,12,1
"Q7Z699",3,9,0.75
"Q86VP6",12,0,0
"Q86VR2",3,9,0.75
"Q86X29",10,2,0.166666666666667
"Q8IWA5",11,1,0.0833333333333333
"Q8IWE4",0,12,1
"Q8IZ83",3,9,0.75
"Q8N271",6,6,0.5
"Q8N5I2",8,4,0.333333333333333
"Q8NC51",12,0,0
"Q8NFJ5",12,0,0
"Q8NG11",10,2,0.166666666666667
"Q8NI35",6,6,0.5
"Q8TE68",7,5,0.416666666666667
"Q9NP97;Q8TF09",8,4,0.333333333333333
"Q8WUM4",12,0,0
"Q8WWI5",0,12,1
"Q92485",0,12,1
"Q92542",12,0,0
"Q92597",12,0,0
"Q92598;O95757",2,10,0.833333333333333
"Q92616",8,4,0.333333333333333
"Q92626",6,6,0.5
"Q92817",6,6,0.5
"Q92882",3,9,0.75
"Q92930",6,6,0.5
"Q92945",0,12,1
"Q969E2",0,12,1
"Q969L2",7,5,0.416666666666667
"Q969P0",10,2,0.166666666666667
"Q969X1",12,0,0
"Q96A65",6,6,0.5
"Q96AC1",10,2,0.166666666666667
"Q96AP7",5,7,0.583333333333333
"Q96C19",4,8,0.666666666666667
"Q96EY5",10,2,0.166666666666667
"Q96FQ6",12,0,0
"Q96FW1",4,8,0.666666666666667
"Q96FZ5",3,9,0.75
"Q96G03",7,5,0.416666666666667
"Q96HC4",0,12,1
"Q96J02",0,12,1
"Q96KP4",12,0,0
"Q96QK1",11,1,0.0833333333333333
"Q96QR8",3,9,0.75
"Q96RS6",10,2,0.166666666666667
"Q96RT1;Q96NW7",12,0,0
"Q96S97",5,7,0.583333333333333
"Q96SA4",0,12,1
"Q96TA1",12,0,0
"Q99426",0,12,1
"Q99436",0,12,1
"Q99439",4,8,0.666666666666667
"Q99460",11,1,0.0833333333333333
"Q99471",5,7,0.583333333333333
"Q99497",12,0,0
"Q99536",12,0,0
"Q99584",12,0,0
"Q99653",3,9,0.75
"Q99685",0,12,1
"Q99816",11,1,0.0833333333333333
"Q99828",6,6,0.5
"Q99829",9,3,0.25
"Q99832",12,0,0
"Q9BQE3",7,5,0.416666666666667
"Q9BR76",0,12,1
"Q9BRA2",6,6,0.5
"Q9BS40",7,5,0.416666666666667
"Q9BT78",0,12,1
"Q9BTT6",0,12,1
"Q9BUF5",0,12,1
"Q9BUL8",0,12,1
"Q9BUP3",0,12,1
"Q9BV40",11,1,0.0833333333333333
"Q9BVC6",2,10,0.833333333333333
"Q9BW04",6,6,0.5
"Q9BY43",4,8,0.666666666666667
"Q9BZ67",9,3,0.25
"Q9BZG1",0,12,1
"Q9C0B5;Q9ULC8",11,1,0.0833333333333333
"Q9C0H2",0,12,1
"Q9GZM7",0,12,1
"Q9H0E2",8,4,0.333333333333333
"Q9H0U4;Q92928",10,2,0.166666666666667
"Q9H190",6,6,0.5
"Q9H1E3",10,2,0.166666666666667
"Q9H1K6",0,12,1
"Q9H223",12,0,0
"Q9H299",6,6,0.5
"Q9H2G2",4,8,0.666666666666667
"Q9H3M7",2,10,0.833333333333333
"Q9H444;Q96CF2",9,3,0.25
"Q9H4A4",11,1,0.0833333333333333
"Q9H4A6",0,12,1
"Q9H4G0",4,8,0.666666666666667
"Q9H4M9;Q9NZN3",12,0,0
"Q9H5V8",12,0,0
"Q9H6S3",7,5,0.416666666666667
"Q9H773",0,12,1
"Q9H9H4",11,1,0.0833333333333333
"Q9HB71",11,1,0.0833333333333333
"Q9HBH0",7,5,0.416666666666667
"Q9HC38",5,7,0.583333333333333
"Q9HCY8",6,6,0.5
"Q9HD42",5,7,0.583333333333333
"Q9NQ84",6,6,0.5
"Q9NQE9",4,8,0.666666666666667
"Q9NR45",6,6,0.5
"Q9NRX4",12,0,0
"Q9NRY6",3,9,0.75
"Q9NTK5",8,4,0.333333333333333
"Q9NUP9;O14910",12,0,0
"Q9NUQ9",11,1,0.0833333333333333
"Q9NV96;Q3MIR4",12,0,0
"Q9NX76",12,0,0
"Q9NY33",12,0,0
"Q9NY35",5,7,0.583333333333333
"Q9NZD2",3,9,0.75
"Q9NZM1",12,0,0
"Q9NZN4",9,3,0.25
"Q9NZT1",3,9,0.75
"Q9NZT2",4,8,0.666666666666667
"Q9NZZ3",7,5,0.416666666666667
"Q9P265;Q14689",8,4,0.333333333333333
"Q9P289;O00506",0,12,1
"Q9P2B2",12,0,0
"Q9P2E9",5,7,0.583333333333333
"Q9UBC9",4,8,0.666666666666667
"Q9UBI6",12,0,0
"Q9UBQ5",2,10,0.833333333333333
"Q9UBV8",0,12,1
"Q9UHD8",9,3,0.25
"Q9UHY1",0,12,1
"Q9UI12",2,10,0.833333333333333
"Q9UIV8",0,12,1
"Q9UIW2",8,4,0.333333333333333
"Q9UJU6",0,12,1
"Q9UK41",11,1,0.0833333333333333
"Q9UKK9",9,3,0.25
"Q9UKS6",3,9,0.75
"Q9UL25",0,12,1
"Q9UL46",10,2,0.166666666666667
"Q9ULC3",0,12,1
"Q9ULC4;A0A3B3IRV3",0,12,1
"Q9ULV4",7,5,0.416666666666667
"Q9UN36",0,12,1
"Q9UN37",0,12,1
"Q9UN76",2,10,0.833333333333333
"Q9UNE7",4,8,0.666666666666667
"Q9UNF0",3,9,0.75
"Q9UNF1",6,6,0.5
"Q9UNH7",0,12,1
"Q9UQ80",12,0,0
"Q9UQB8",6,6,0.5
"Q9UQN3",6,6,0.5
"Q9Y230",3,9,0.75
"Q9Y265",7,5,0.416666666666667
"Q9Y266",0,12,1
"Q9Y281",7,5,0.416666666666667
"Q9Y2A7",7,5,0.416666666666667
"Q9Y2J8",5,7,0.583333333333333
"Q9Y376",10,2,0.166666666666667
"Q9Y446",6,6,0.5
"Q9Y490",12,0,0
"Q9Y5J5",6,6,0.5
"Q9Y5X3",0,12,1
"Q9Y5Z4",7,5,0.416666666666667
"Q9Y624",8,4,0.333333333333333
"Q9Y678;Q9UBF2",11,1,0.0833333333333333
"Q9Y696",12,0,0
"Q9Y6E0",7,5,0.416666666666667
"Q9Y6W5",0,12,1
